@relation synthetic_anomaly_detection_stream_data_7anomalies

@attribute x numeric
@attribute y numeric
@attribute is_anomaly {0,1}

@data
0.29,0.189473684,0
0.19,0.263157895,0
0.21,0.189473684,0
0.25,0.273684211,0
0.28,0.315789474,0
0.27,0.210526316,0
0.28,0.263157895,0
0.21,0.284210526,0
0.2,0.263157895,0
0.25,0.326315789,0
0.25,0.168421053,0
0.22,0.315789474,0
0.32,0.231578947,0
0.19,0.242105263,0
0.22,0.263157895,0
0.27,0.242105263,0
0.35,0.221052632,0
0.31,0.263157895,0
0.26,0.242105263,0
0.2,0.2,0
0.24,0.294736842,0
0.32,0.2,0
0.18,0.252631579,0
0.25,0.347368421,0
0.22,0.336842105,0
0.29,0.231578947,0
0.17,0.242105263,0
0.29,0.294736842,0
0.25,0.231578947,0
0.29,0.242105263,0
0.2,0.347368421,0
0.31,0.284210526,0
0.31,0.231578947,0
0.28,0.210526316,0
0.2,0.231578947,0
0.24,0.305263158,0
0.24,0.2,0
0.19,0.263157895,0
0.24,0.294736842,0
0.25,0.263157895,0
0.24,0.242105263,0
0.26,0.336842105,0
0.2,0.221052632,0
0.29,0.189473684,0
0.25,0.336842105,0
0.27,0.273684211,0
0.16,0.252631579,0
0.21,0.242105263,0
0.27,0.263157895,0
0.22,0.294736842,0
0.3,0.315789474,0
0.24,0.231578947,0
0.24,0.294736842,0
0.2,0.315789474,0
0.26,0.315789474,0
0.29,0.263157895,0
0.28,0.242105263,0
0.2,0.242105263,0
0.27,0.252631579,0
0.21,0.231578947,0
0.24,0.210526316,0
0.31,0.231578947,0
0.27,0.294736842,0
0.27,0.315789474,0
0.31,0.315789474,0
0.19,0.263157895,0
0.31,0.305263158,0
0.21,0.273684211,0
0.31,0.252631579,0
0.28,0.2,0
0.2,0.263157895,0
0.28,0.231578947,0
0.27,0.210526316,0
0.26,0.242105263,0
0.3,0.326315789,0
0.27,0.357894737,0
0.33,0.231578947,0
0.22,0.263157895,0
0.24,0.231578947,0
0.32,0.221052632,0
0.33,0.305263158,0
0.17,0.294736842,0
0.31,0.231578947,0
0.25,0.305263158,0
0.29,0.178947368,0
0.22,0.294736842,0
0.28,0.273684211,0
0.23,0.273684211,0
0.3,0.231578947,0
0.22,0.2,0
0.24,0.221052632,0
0.17,0.210526316,0
0.3,0.231578947,0
0.21,0.263157895,0
0.27,0.305263158,0
0.29,0.284210526,0
0.18,0.263157895,0
0.29,0.305263158,0
0.25,0.252631579,0
0.25,0.221052632,0
0.31,0.221052632,0
0.25,0.210526316,0
0.27,0.294736842,0
0.35,0.305263158,0
0.33,0.242105263,0
0.2,0.347368421,0
0.28,0.294736842,0
0.24,0.189473684,0
0.17,0.347368421,0
0.22,0.263157895,0
0.26,0.263157895,0
0.24,0.168421053,0
0.22,0.273684211,0
0.25,0.294736842,0
0.22,0.178947368,0
0.25,0.284210526,0
0.25,0.221052632,0
0.21,0.2,0
0.42,0.147368421,0
0.4,0.2,0
0.35,0.126315789,0
0.61,0.157894737,0
0.38,0.2,0
0.53,0.105263158,0
0.55,0.168421053,0
0.2,0.210526316,0
0.37,0.115789474,0
0.14,0.052631579,0
0.75,0.157894737,0
0.17,0.231578947,0
0.13,0.168421053,0
0.38,0.094736842,0
0.46,0.094736842,0
0.58,0.105263158,0
0.35,0.189473684,0
0.21,0.105263158,0
0.41,0.221052632,0
0.38,0.157894737,0
0.47,0.147368421,0
0.42,0.094736842,0
0.27,0.147368421,0
0.22,0.178947368,0
0.22,0.073684211,0
0.57,0.126315789,0
0.52,0.147368421,0
0.12,0.094736842,0
0.65,0.136842105,0
0.25,0.189473684,0
0.14,0.084210526,0
0.15,0.178947368,0
0.17,0.157894737,0
0.25,0.2,0
0.56,0.126315789,0
0.51,0.210526316,0
0.42,0.231578947,0
0.17,0.189473684,0
0.24,0.157894737,0
0.64,0.221052632,0
0.6,0.136842105,0
0.56,0.147368421,0
0.47,0.189473684,0
0.14,0.157894737,0
0.43,0.178947368,0
0.68,0.189473684,0
0.57,0.189473684,0
0.19,0.147368421,0
0.27,0.168421053,0
0.26,0.115789474,0
0.71,0.147368421,0
0.28,0.2,0
0.65,0.168421053,0
0.43,0.105263158,0
0.27,0.178947368,0
0.29,0.231578947,0
0.36,0.147368421,0
0.1,0.084210526,0
0.68,0.115789474,0
0.44,0.168421053,0
0.62,0.084210526,0
0.49,0.157894737,0
0.72,0.105263158,0
0.28,0.105263158,0
0.63,0.094736842,0
0.46,0.115789474,0
0.14,0.252631579,0
0.44,0.263157895,0
0.46,0.157894737,0
0.53,0.136842105,0
